time,FTP,FTA,road_safety,Other,total
2000-01,404,7770,1891,12416,22482
2000-02,404,7770,1891,12416,22482
2000-03,404,7770,1891,12416,22482
2000-04,404,7770,1891,12416,22482
2000-05,404,7770,1891,12416,22482
2000-06,404,7770,1891,12416,22482
2000-07,404,7770,1891,12416,22482
2000-08,404,7770,1891,12416,22482
2000-09,404,7770,1891,12416,22482
2000-10,404,7770,1891,12416,22482
2000-11,404,7770,1891,12416,22482
2000-12,404,7770,1891,12416,22482
2001-01,386,7849,2268,13210,23714
2001-02,386,7849,2268,13210,23714
2001-03,386,7849,2268,13210,23714
2001-04,386,7849,2268,13210,23714
2001-05,386,7849,2268,13210,23714
2001-06,386,7849,2268,13210,23714
2001-07,386,7849,2268,13210,23714
2001-08,386,7849,2268,13210,23714
2001-09,386,7849,2268,13210,23714
2001-10,386,7849,2268,13210,23714
2001-11,386,7849,2268,13210,23714
2001-12,386,7849,2268,13210,23714
2002-01,436,8025,2364,13912,24738
2002-02,436,8025,2364,13912,24738
2002-03,436,8025,2364,13912,24738
2002-04,436,8025,2364,13912,24738
2002-05,436,8025,2364,13912,24738
2002-06,436,8025,2364,13912,24738
2002-07,436,8025,2364,13912,24738
2002-08,436,8025,2364,13912,24738
2002-09,436,8025,2364,13912,24738
2002-10,436,8025,2364,13912,24738
2002-11,436,8025,2364,13912,24738
2002-12,436,8025,2364,13912,24738
2003-01,421,8674,2546,15176,26819
2003-02,421,8674,2546,15176,26819
2003-03,421,8674,2546,15176,26819
2003-04,421,8674,2546,15176,26819
2003-05,421,8674,2546,15176,26819
2003-06,421,8674,2546,15176,26819
2003-07,421,8674,2546,15176,26819
2003-08,421,8674,2546,15176,26819
2003-09,421,8674,2546,15176,26819
2003-10,421,8674,2546,15176,26819
2003-11,421,8674,2546,15176,26819
2003-12,421,8674,2546,15176,26819
2004-01,458,7912,2310,14017,24697
2004-02,458,7912,2310,14017,24697
2004-03,458,7912,2310,14017,24697
2004-04,458,7912,2310,14017,24697
2004-05,458,7912,2310,14017,24697
2004-06,458,7912,2310,14017,24697
2004-07,458,7912,2310,14017,24697
2004-08,458,7912,2310,14017,24697
2004-09,458,7912,2310,14017,24697
2004-10,458,7912,2310,14017,24697
2004-11,458,7912,2310,14017,24697
2004-12,458,7912,2310,14017,24697
2005-01,451,7785,2329,14011,24577
2005-02,451,7785,2329,14011,24577
2005-03,451,7785,2329,14011,24577
2005-04,451,7785,2329,14011,24577
2005-05,451,7785,2329,14011,24577
2005-06,451,7785,2329,14011,24577
2005-07,451,7785,2329,14011,24577
2005-08,451,7785,2329,14011,24577
2005-09,451,7785,2329,14011,24577
2005-10,451,7785,2329,14011,24577
2005-11,451,7785,2329,14011,24577
2005-12,451,7785,2329,14011,24577
2006-01,478,7724,2206,14419,24829
2006-02,478,7724,2206,14419,24829
2006-03,478,7724,2206,14419,24829
2006-04,478,7724,2206,14419,24829
2006-05,478,7724,2206,14419,24829
2006-06,478,7724,2206,14419,24829
2006-07,478,7724,2206,14419,24829
2006-08,478,7724,2206,14419,24829
2006-09,478,7724,2206,14419,24829
2006-10,478,7724,2206,14419,24829
2006-11,478,7724,2206,14419,24829
2006-12,478,7724,2206,14419,24829
2007-01,633,8819,2431,15869,27753
2007-02,633,8819,2431,15869,27753
2007-03,633,8819,2431,15869,27753
2007-04,633,8819,2431,15869,27753
2007-05,633,8819,2431,15869,27753
2007-06,633,8819,2431,15869,27753
2007-07,633,8819,2431,15869,27753
2007-08,633,8819,2431,15869,27753
2007-09,633,8819,2431,15869,27753
2007-10,633,8819,2431,15869,27753
2007-11,633,8819,2431,15869,27753
2007-12,633,8819,2431,15869,27753
2008-01,605,9065,2183,15311,27164
2008-02,605,9065,2183,15311,27164
2008-03,605,9065,2183,15311,27164
2008-04,605,9065,2183,15311,27164
2008-05,605,9065,2183,15311,27164
2008-06,605,9065,2183,15311,27164
2008-07,605,9065,2183,15311,27164
2008-08,605,9065,2183,15311,27164
2008-09,605,9065,2183,15311,27164
2008-10,605,9065,2183,15311,27164
2008-11,605,9065,2183,15311,27164
2008-12,605,9065,2183,15311,27164
2009-01,664,8085,2190,15502,26443
2009-02,664,8085,2190,15502,26443
2009-03,664,8085,2190,15502,26443
2009-04,664,8085,2190,15502,26443
2009-05,664,8085,2190,15502,26443
2009-06,664,8085,2190,15502,26443
2009-07,664,8085,2190,15502,26443
2009-08,664,8085,2190,15502,26443
2009-09,664,8085,2190,15502,26443
2009-10,664,8085,2190,15502,26443
2009-11,664,8085,2190,15502,26443
2009-12,664,8085,2190,15502,26443
2010-01,659,7424,2047,13801,23932
2010-02,659,7424,2047,13801,23932
2010-03,659,7424,2047,13801,23932
2010-04,659,7424,2047,13801,23932
2010-05,659,7424,2047,13801,23932
2010-06,659,7424,2047,13801,23932
2010-07,659,7424,2047,13801,23932
2010-08,659,7424,2047,13801,23932
2010-09,659,7424,2047,13801,23932
2010-10,659,7424,2047,13801,23932
2010-11,659,7424,2047,13801,23932
2010-12,659,7424,2047,13801,23932
2011-01,599,6033,1758,11775,20167
2011-02,599,6033,1758,11775,20167
2011-03,599,6033,1758,11775,20167
2011-04,599,6033,1758,11775,20167
2011-05,599,6033,1758,11775,20167
2011-06,599,6033,1758,11775,20167
2011-07,599,6033,1758,11775,20167
2011-08,599,6033,1758,11775,20167
2011-09,599,6033,1758,11775,20167
2011-10,599,6033,1758,11775,20167
2011-11,599,6033,1758,11775,20167
2011-12,599,6033,1758,11775,20167
2012-01,558,5389,1735,11234,18917
2012-02,558,5389,1735,11234,18917
2012-03,558,5389,1735,11234,18917
2012-04,558,5389,1735,11234,18917
2012-05,558,5389,1735,11234,18917
2012-06,558,5389,1735,11234,18917
2012-07,558,5389,1735,11234,18917
2012-08,558,5389,1735,11234,18917
2012-09,558,5389,1735,11234,18917
2012-10,558,5389,1735,11234,18917
2012-11,558,5389,1735,11234,18917
2012-12,558,5389,1735,11234,18917
2013-01,152,123,1420,0,1695
2013-02,207,100,1527,0,1834
2013-03,188,163,1637,0,1988
2013-04,130,131,1360,0,1621
2013-05,204,132,1761,0,2097
2013-06,140,121,1364,0,1625
2013-07,187,142,1365,0,1694
2013-08,164,136,1456,0,1756
2013-09,164,109,1502,0,1775
2013-10,161,131,1673,0,1965
2013-11,120,146,1645,0,1911
2013-12,231,106,1431,0,1768
2014-01,196,93,1146,0,1435
2014-02,117,100,1269,0,1486
2014-03,267,96,1582,0,1945
2014-04,142,81,1390,0,1613
2014-05,179,91,1428,0,1698
2014-06,173,89,1243,0,1505
2014-07,163,87,1453,0,1703
2014-08,198,97,1313,0,1608
2014-09,143,92,1256,0,1491
2014-10,178,117,1531,0,1826
2014-11,177,97,1442,0,1716
2014-12,175,77,1160,0,1412
2015-01,99,94,1179,0,1372
2015-02,125,92,1246,0,1463
2015-03,206,80,1338,0,1624
2015-04,147,80,1460,0,1687
2015-05,181,92,1388,0,1661
2015-06,109,79,1120,0,1308
2015-07,177,90,1469,0,1736
2015-08,141,114,1409,0,1664
2015-09,117,90,1244,0,1451
2015-10,156,89,1454,0,1699
2015-11,188,77,1207,0,1472
2015-12,163,93,1392,0,1648
2016-01,130,63,1049,0,1242
2016-02,137,69,1090,0,1296
2016-03,164,65,1475,0,1704
2016-04,161,69,1188,0,1418
2016-05,166,68,1287,0,1521
2016-06,143,72,1262,0,1477
2016-07,173,114,1296,0,1583
2016-08,169,77,1200,0,1446
2016-09,174,87,1229,0,1490
2016-10,165,79,1262,0,1506
2016-11,124,72,1247,0,1443
2016-12,203,70,1289,0,1562
2017-01,97,53,871,0,1021
2017-02,153,70,1055,0,1278
2017-03,156,81,1224,0,1461
2017-04,155,75,1104,0,1334
2017-05,155,72,1216,0,1443
2017-06,162,86,1127,0,1375
2017-07,151,97,1169,0,1417
2017-08,177,76,1238,0,1491
2017-09,157,92,1342,0,1591
2017-10,111,80,1192,0,1383
2017-11,139,64,1256,0,1459
2017-12,146,71,1131,0,1348
2018-01,142,73,913,0,1128
2018-02,120,68,904,0,1092
2018-03,180,117,1291,0,1588
2018-04,136,55,994,0,1185
2018-05,158,79,1268,0,1505
2018-06,161,85,1011,0,1257
2018-07,149,58,970,0,1177
2018-08,133,72,1177,0,1382
2018-09,181,58,1117,0,1356
2018-10,155,72,1199,0,1426
2018-11,187,67,1113,0,1367
2018-12,174,88,948,0,1210
2019-01,148,66,888,0,1102
2019-02,97,64,975,0,1136
