time,FTP,FTA,road_safety,Other,total
2021-12,3026,8994,1916,1222,15158
2022-01,1660,19852,1908,1655,25075
2022-02,2799,7011,2563,1233,13606
2022-03,3675,8195,2621,1765,16256
2022-04,5565,45579,2831,2048,56023
2022-05,3899,18741,3548,2076,28264
2022-06,3248,20772,2556,2226,28802
2022-07,5576,17788,2482,1750,27596
2022-08,1100,18336,2616,2240,24292
2022-09,1388,19365,2375,1948,25076
2022-10,1003,16775,2170,1938,21886
2022-11,1228,11990,2039,2051,17308
2022-12,1295,16160,2394,1876,21725
2023-01,1325,12429,2749,1865,18368
2023-02,1264,14598,2425,1680,19967
2023-03,1178,11763,2691,2077,17709
2023-04,8079,14864,2073,1857,26873
2023-05,2588,34560,2437,2116,41701
2023-06,4981,14791,2676,1993,24441
2023-07,3812,12937,2069,2182,21000
2023-08,3620,14010,2335,2365,22330
2023-09,2268,13792,2262,1946,20268
2023-10,2463,12635,2302,1939,19339
2023-11,2094,12801,2041,1966,18902
2023-12,1696,12441,1961,2212,18310
2024-01,2234,11531,2400,2227,18392
2024-02,4099,11305,2327,2055,19786
2024-03,545,9609,2236,2131,14521
2024-04,2033,11068,2591,2451,18143
2024-05,1700,12146,2388,2319,18553
2024-06,1694,12537,2103,2115,18449
2024-07,1946,12095,2393,2423,18857
2024-08,2430,14209,2270,2359,21268
2024-09,2191,12313,2144,2293,18941
2024-10,1963,12341,2363,2378,19045
2024-11,1459,12546,1330,1518,16853
total,93124,542879,84585,72495,793083
