time,FTP,FTA,road_safety,Other,total
2010-01,38168,14038,17535,260936,330677
2010-02,31993,12466,19184,182758,246401
2010-03,23464,12222,17124,304328,357138
2010-04,10849,17616,18910,268250,315625
2010-05,9545,14110,16277,194542,234474
2010-06,10278,13929,19855,169502,213564
2010-07,10402,15078,21477,132929,179886
2010-08,7679,15773,19670,210654,253776
2010-09,8986,15202,21411,163593,209192
2010-10,7749,14882,21794,162572,206997
2010-11,7123,14063,17127,183451,221764
2010-12,9514,14641,16404,143305,183864
2011-01,8863,15120,15115,200359,239457
2011-02,6941,12894,16560,166929,203324
2011-03,10808,14236,20971,279923,325938
2011-04,9390,13667,18735,428652,470444
2011-05,9886,14871,20617,233560,278934
2011-06,8522,14733,18558,185287,227100
2011-07,6708,15563,15055,174515,211841
2011-08,8009,17003,16375,174519,215906
2011-09,7217,16143,18545,165085,206990
2011-10,9083,16082,17453,138918,181536
2011-11,8363,12854,14640,168555,204412
2011-12,8732,13454,15841,165967,203994
2012-01,7076,13550,15349,170923,206898
2012-02,10122,12106,18149,178781,219158
2012-03,14727,11810,17340,275008,318885
2012-04,14645,10964,17576,262982,306167
2012-05,17659,11630,22676,275686,327651
2012-06,11671,12878,16255,226042,266846
2012-07,8532,13592,15099,213818,251041
2012-08,9416,13558,17075,204622,244671
2012-09,6817,13132,15601,185159,220709
2012-10,9053,12979,19455,77471,118958
2012-11,7709,11844,14926,134320,168799
2012-12,6297,11598,15572,109077,142544
2013-01,9884,12400,19657,189652,231593
2013-02,7016,12571,18755,179998,218340
2013-03,10106,14224,15291,187504,227125
2013-04,11099,11629,26340,203572,252640
2013-05,8168,11354,16428,223683,259633
2013-06,6035,11419,15848,197090,230392
2013-07,10246,13065,16797,254260,294368
2013-08,6046,13979,16179,237462,273666
2013-09,6872,12545,14707,204577,238701
2013-10,8324,12550,19040,248072,287986
2013-11,5008,11188,16561,195317,228074
2013-12,8399,12616,10781,219377,251173
2014-01,7943,13409,13342,212660,247354
2014-02,6392,11881,12424,195958,226655
2014-03,9628,12185,16815,202696,241324
2014-04,9500,11232,19447,235810,275989
2014-05,7651,11146,14530,237523,270850
2014-06,6705,11230,16000,232791,266726
2014-07,7263,12404,15971,248173,283811
2014-08,6892,13707,14759,227771,263129
2014-09,7648,12801,18438,272669,311556
2014-10,6494,12239,14940,241164,274837
2014-11,6943,11392,11377,239148,268860
2014-12,6784,11809,11860,248975,279428
2015-01,8286,11773,14250,245726,280035
2015-02,6790,10716,13141,211163,241810
2015-03,8623,11899,14993,286352,321867
2015-04,7351,10236,17917,262983,298487
2015-05,8082,10731,15136,277684,311633
2015-06,6791,11063,17877,250060,285791
2015-07,5688,12103,15555,256451,289797
2015-08,5831,12241,15193,256384,289649
2015-09,6814,11721,15511,252170,286216
2015-10,6334,11385,14685,220719,253123
2015-11,6803,10419,10923,236864,265009
2015-12,3694,10971,12681,222002,249348
2016-01,6396,10689,12969,222420,252474
2016-02,6662,10017,13977,222379,253035
2016-03,8315,9651,16957,236780,271703
2016-04,6684,9215,14722,230370,260991
2016-05,7439,9636,12793,253311,283179
2016-06,6483,10661,10134,224946,252224
2016-07,7111,11403,10732,250415,279661
2016-08,9059,11617,15014,265238,300928
2016-09,6650,11294,15454,250049,283447
2016-10,9636,11088,17376,247547,285647
2016-11,6892,10543,11997,232201,261633
2016-12,3546,11333,10787,224339,250005
2017-01,7614,10907,13172,234260,265953
2017-02,5849,9728,9425,219075,244077
2017-03,8109,10024,11758,265873,295764
2017-04,7327,11993,9376,225233,253929
2017-05,7870,10308,13690,258939,290807
2017-06,6118,10274,13579,246722,276693
2017-07,6021,10589,13574,262881,293065
2017-08,7368,11221,15002,302376,335967
2017-09,6288,10978,15356,189103,221725
2017-10,6159,10857,15326,250467,282809
2017-11,6515,10088,12046,285312,313961
2017-12,4510,10409,9139,236670,260728
2018-01,6325,10283,10677,237888,265173
2018-02,5036,9621,9384,223779,247820
2018-03,7627,10168,11989,225659,255443
2018-04,7885,9149,14468,244054,275556
2018-05,6970,9648,15617,258638,290873
2018-06,5316,9602,15638,233814,264370
2018-07,6334,10614,12825,274683,304456
2018-08,6143,10996,16884,257184,291207
2018-09,5899,10672,14586,240859,272016
2018-10,6758,10826,16905,251412,285901
2018-11,5413,10093,13236,244452,273194
2018-12,6844,10358,11591,258348,287141
2019-01,5761,10631,13044,236514,265950
2019-02,5421,9361,12678,216602,244062
2019-03,6410,10024,12313,223353,252100
2019-04,7263,8927,11953,256470,284613
2019-05,6857,9630,10739,256076,283302
2019-06,5432,9894,10504,130563,156393
2019-07,6610,10568,11401,265826,294405
2019-08,6348,11082,10421,36939,64790
2019-09,6813,11164,9481,31695,59153
2019-10,6483,10993,13428,33094,63998
2019-11,4970,9963,10758,26972,52663
2019-12,6630,10392,9545,29600,56167
2020-01,7826,11234,12125,39436,70621
2020-02,7585,10507,11252,34792,64136
2020-03,8088,6513,12178,33403,60182
2020-04,4881,0,6923,20021,31825
2020-05,2875,0,7408,13739,24022
2020-06,4273,0,8270,14254,26797
2020-07,4535,0,7895,16237,28667
2020-08,4380,0,6943,15030,26353
2020-09,4303,0,7551,15936,27790
2020-10,3815,0,9346,16136,29297
2020-11,3489,0,7864,13815,25168
2020-12,2886,0,8036,17939,28861
2021-01,4152,0,8235,15613,28000
2021-02,2909,0,7061,12155,22125
2021-03,4523,0,11133,19267,34923
2021-04,6196,89260,9921,29420,134797
2021-05,5872,8482,12170,21738,48262
2021-06,5460,8521,9891,20419,44291
2021-07,5393,9400,9718,19982,44493
2021-08,5098,9479,9508,20479,44564
2021-09,5343,9352,8975,34761,58431
2021-10,4277,8999,8504,21135,42915
2021-11,5122,8291,7633,17101,38147
2021-12,4097,8771,9035,16339,38242
2022-01,5480,8558,8852,18689,41579
2022-02,5450,7570,8822,17196,39038
2022-03,6255,8369,11299,22910,48833
2022-04,5920,7441,8779,20698,42838
2022-05,5267,7813,8829,19246,41155
2022-06,5038,7605,9431,19711,41785
2022-07,5934,6601,7950,15811,36296
2022-08,5633,10174,9413,29422,54642
2022-09,4860,8366,8860,17988,40074
2022-10,4923,8333,8600,17959,39815
2022-11,4051,7638,8722,15765,36176
2022-12,4351,8065,54522,41138,108076
2023-01,6589,8305,9426,15512,39832
2023-02,5032,7259,10647,16692,39630
2023-03,6683,7811,11148,17973,43615
2023-04,6666,7208,10371,19129,43374
2023-05,6002,7388,11548,20397,45335
2023-06,5173,7473,10100,19962,42708
2023-07,5603,7895,9802,20306,43606
2023-08,6307,8619,9498,21941,46365
