time,FTP,FTA,road_safety,Other,total
2018-07,42706,71,1631,24523,68933
2018-08,42706,71,1631,24523,68933
2018-09,42706,71,1631,24523,68933
2018-10,42706,71,1631,24523,68933
2018-11,42706,71,1631,24523,68933
2018-12,42706,71,1631,24523,68933
2019-01,42706,71,1631,24523,68933
2019-02,42706,71,1631,24523,68933
2019-03,42706,71,1631,24523,68933
2019-04,42706,71,1631,24523,68933
2019-05,42706,71,1631,24523,68933
2019-06,42706,71,1631,24523,68933
2021-07,12335,56,1140,15714,29246
2021-08,12335,56,1140,15714,29246
2021-09,12335,56,1140,15714,29246
2021-10,12335,56,1140,15714,29246
2021-11,12335,56,1140,15714,29246
2021-12,12335,56,1140,15714,29246
2022-01,12335,56,1140,15714,29246
2022-02,12335,56,1140,15714,29246
2022-03,12335,56,1140,15714,29246
2022-04,12335,56,1140,15714,29246
2022-05,12335,56,1140,15714,29246
2022-06,12335,56,1140,15714,29246
2022-07,11860,61,944,16346,29213
2022-08,11860,61,944,16346,29213
2022-09,11860,61,944,16346,29213
2022-10,11860,61,944,16346,29213
2022-11,11860,61,944,16346,29213
2022-12,11860,61,944,16346,29213
2023-01,11860,61,944,16346,29213
2023-02,11860,61,944,16346,29213
2023-03,11860,61,944,16346,29213
2023-04,11860,61,944,16346,29213
total,779113,2162,42706,646315,1470297
